"Part Nbr","Description","Inv Type","Sales Code","Lead Code","Engr Status","Whse Location","Qty On Hand","UOM","List Price","Acctg Cost"
"206-0200","6MM SILVER METALLIC ALUMALITE - 4' X 8'","FALUM","","P","A","","0","SF","5.53000","3.23630"
"206-0201","6MM SILVER METALLIC ALUMALITE - 4' X 10'","FALUM","","P","A","","0","SF","5.53000","3.23630"
"206-0210",".270"" METALLIC SILVER DRIP EDGE - 10'","FALUM","","P","A","","0","LF","3.88000","1.77400"
"206-0220","6MM WHITE 2S ALUMALITE - 4' X 8'","FALUM","","P","A","","0","SF","7.59500","4.34000"
"206-0221","6MM WHITE 2S ALUMALITE - 4' X 10'","FALUM","","P","A","","96","SF","4.39000","2.51030"
"206-0230","6MM WHITE 1S ECONOLITE - 4' X 8'","FALUM","","P","A","","0","SF","7.74977","4.42844"
"206-0231","6MM WHITE 1S ECONOLITE - 4' X 10'","FALUM","","P","A","","0","SF","4.18000","2.61410"
"206-0240","10MM WHITE ECONOLITE  - 4' X 8'","FALUM","","P","A","","0","SF","7.93625","4.53500"
"206-0241","10MM WHITE ECONOLITE - 4' X 10'","FALUM","","P","A","","0","SF","5.42000","3.09890"
"206-0250","4MM ALUCOBOND - 4' X 8'","FALUM","","P","A","","0","SF","4.52000","2.58000"
"206-0251","4MM ALUCOBOND - 4' X 10'","FALUM","","P","A","","0","SF","4.52000","2.58000"
"208-0100","1"" BLACK JEWELITE TRIMCAP - 10'","FCHANN","CHANNL","P","A","","-30","LF","0.64750","0.37000"
"208-0101","1"" BLACK JEWELITE TRIMCAP - 150'/RL","FCHANN","CHANNL","P","A","","198","LF","0.58333","0.33333"
"208-0110","2"" BLACK JEWELITE TRIMCAP - 10'","FCHANN","CHANNL","P","A","","4","LF","1.49100","0.85200"
"208-0120","1"" BLUE JEWELITE TRIMCAP - 10'","FCHANN","CHANNL","P","A","","0","LF","0.57000","0.32760"
"208-0121","1"" BLUE JEWELITE TRIMCAP - 150'","FCHANN","CHANNL","P","A","","243","LF","0.82005","0.46860"
"208-0125","1"" LIGHT BLUE JEWELITE TRIMCAP - 10'","FCHANN","","P","A","","-80","FT","0.57330","0.32760"
"208-0130","2"" BLUE JEWELITE TRIMCAP - 10'","FCHANN","CHANNL","P","A","","30","LF","1.33000","0.60480"
"208-0140","1"" BRONZE JEWELITE TRIMCAP - 10'","FCHANN","CHANNL","P","A","","0","LF","0.57000","0.32760"
"208-0141","1"" BRONZE JEWELITE TRIMCAP - 150'/RL","FCHANN","CHANNL","P","A","","110","LF","0.94255","0.53860"
"208-0150","2"" BRONZE JEWELITE TRIMCAP 100' roll","FCHANN","CHANNL","P","A","","0","LF","1.43000","0.81690"
